time_iso8601,forks_cumulative
2022-11-03 00:00:00+00:00,1
2022-12-19 00:00:00+00:00,2
2023-01-24 00:00:00+00:00,3
2023-02-28 00:00:00+00:00,4
2023-03-16 00:00:00+00:00,5
2023-05-13 00:00:00+00:00,6
2023-06-08 00:00:00+00:00,7
2023-08-09 00:00:00+00:00,9
2024-02-21 00:00:00+00:00,10
2024-03-17 00:00:00+00:00,11
2024-06-14 00:00:00+00:00,12
2024-06-22 00:00:00+00:00,13
2024-07-13 00:00:00+00:00,14
2024-09-12 00:00:00+00:00,15
2024-10-03 00:00:00+00:00,16
2025-02-04 00:00:00+00:00,17
2025-11-06 00:00:00+00:00,18
2025-12-13 00:00:00+00:00,19
