time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-13 00:00:00+00:00,2,1,1,1
2022-10-14 00:00:00+00:00,9,1,16,1
2022-10-17 00:00:00+00:00,0,0,7,2
2022-10-18 00:00:00+00:00,0,0,3,2
2022-10-19 00:00:00+00:00,16,1,30,2
2022-10-20 00:00:00+00:00,7,1,41,2
2022-10-21 00:00:00+00:00,10,1,29,2
2022-10-24 00:00:00+00:00,27,15,81,15
2022-10-25 00:00:00+00:00,1,1,23,6
2022-10-26 00:00:00+00:00,15,6,44,7
2022-10-27 00:00:00+00:00,16,9,16,7
2022-10-28 00:00:00+00:00,264,5,20,4
2022-10-29 00:00:00+00:00,0,0,1,1
